"playerid","version_date","name","age","team","lg","fraa_adj","fraa","csaa_chances","csaa","csaa_sd","csaa_runs","csaa_runs_sd","epaa_chances","epaa","epaa_runs","sraa_chances","sraa","traa","traa_runs","po_chances","po_runs"
"60238","2019-09-29","Dustin Garneau","31","OAK","AL",".4","0.0","285",".002",".003",".1",".1","175",".003","-.2","3","0.000",".001","0.000","28",".471"
"100171","2019-09-29","Kyle Farmer","28","CIN","NL",".4","-1.5","585","-.003",".004","-.3",".4","396","-.006",".6","7","-.002","-.001","0.000","0","0.000"
"104814","2019-09-29","Alex Jackson","23","ATL","NL",".4",".5","215",".010",".004",".3",".1","122","-.002",".1","0","0.000",".001","0.000","46","-.017"
"102700","2019-09-29","Jacob Nottingham","24","MIL","NL",".4","-.3","74",".002",".004","0.0","0.0","43",".012","-.1","0","0.000","0.000","0.000","0",".483"
"58373","2019-09-29","Ryan Lavarnway","31","CIN","NL",".4",".2","331",".001",".005",".1",".3","215","0.000","0.0","3",".002",".002","0.000","30",".273"
"71054","2019-09-29","Austin Nola","29","SEA","AL",".3","3.2","256",".003",".005",".1",".2","168","-.003",".1","1",".005","-.002","0.000","0","0.000"
"107161","2019-09-29","Seby Zavala","25","CHA","AL",".2",".2","152",".004",".004",".1",".1","67","-.005",".1","2",".010","0.000","0.000","8","-.003"
"55784","2019-09-29","Travis d'Arnaud","30","NYN","NL",".2",".1","409",".003",".003",".2",".2","255","0.000","0.0","5","-.006","0.000","0.000","96","-.045"
"48082","2019-09-29","Martin Maldonado","32","CHN","NL",".1","-.2","234","-.002",".001","-.1",".1","151",".006","-.3","1",".048","0.000",".016","15",".476"
"69306","2019-09-29","Raudy Read","25","WAS","NL",".1","-.4","165","-.012",".003","-.3",".1","122",".003","-.1","1","-.019","0.000","0.000","0",".483"
"66535","2019-09-29","David Freitas","30","MIL","NL",".1",".1","60",".001",".003","0.0","0.0","51","-.007",".1","1",".015",".001","0.000","22","-.008"
"66535","2019-09-29","David Freitas","30","SEA","AL",".1",".1","60",".001",".003","0.0","0.0","51","-.007",".1","1",".015",".001","0.000","22","-.008"
"103751","2019-09-29","Kyle Schwarber","26","CHN","NL","0.0","-.5","1","0.000","0.000","0.0","0.0","2","-.009","0.0","0","0.000","0.000","0.000","0","0.000"
"51220","2019-09-29","Juan Graterol","30","CIN","NL","0.0","0.0","288","-.003",".005","-.1",".2","189","-.006",".3","1",".005","-.001","0.000","8","-.200"
"101609","2019-09-29","Nick Ciuffo","24","TBA","AL","-.1","-.4","122","-.005",".004","-.1",".1","111",".008","-.3","2",".015","0.000","0.000","8",".283"
"47155","2019-09-29","Drew Butera","35","COL","NL","-.1",".2","862","-.010",".005","-1.3",".6","566","-.008","1.2","5","-.011","0.000","0.000","11","-.005"
"102118","2019-09-29","Deivy Grullon","23","PHI","NL","-.1","-.1","121","-.011",".004","-.2",".1","86","-.003",".1","0","0.000","0.000","0.000","17","-.006"
"69938","2019-09-29","Beau Taylor","29","TOR","AL","-.1","-.1","50",".001",".006","0.0","0.0","56",".011","-.2","0","0.000","0.000","0.000","15","-.006"
"55701","2019-09-29","Juan Centeno","29","BOS","AL","-.1","-1.1","297","-.014",".002","-.7",".1","207",".009","-.5","3","-.003",".001","0.000","5","1.056"
"41774","2019-09-29","Rene Rivera","35","NYN","NL","-.2","-.6","379",".003",".006",".1",".3","213",".012","-.7","5",".027",".002","0.000","6",".481"
"65828","2019-09-29","Rocky Gale","31","LAN","NL","-.3","-.3","230","-.001",".004","0.0",".1","172",".004","-.2","0","0.000","0.000","0.000","56","-.021"
"70302","2019-09-29","Taylor Davis","29","CHN","NL","-.4","0.0","326",".009",".004",".5",".2","240",".011","-.7","9",".014",".005","0.000","4","-.002"
"66085","2019-09-29","Willians Astudillo","27","MIN","AL","-.4",".1","1061","-.002",".004","-.3",".7","724","0.000","0.0","11",".008",".001","0.000","45","-.016"
